params,MSE,status
"(0, 0, 0)",0.09024320317324618,SUCESSO
"(0, 0, 1)",0.022560268189433724,SUCESSO
"(0, 0, 2)",,FALHA
"(0, 0, 3)",,FALHA
"(0, 1, 0)",6.000464262429646e-05,SUCESSO
"(0, 1, 1)",2.7995387252985313e-05,SUCESSO
"(0, 1, 2)",2.11679117136624e-05,SUCESSO
"(0, 1, 3)",1.4430745072797356e-05,SUCESSO
"(0, 2, 0)",4.112304787065446e-06,SUCESSO
"(0, 2, 1)",4.5534792442938546e-06,SUCESSO
"(0, 2, 2)",5.761992710980472e-06,SUCESSO
"(0, 2, 3)",7.746575248070852e-06,SUCESSO
"(0, 3, 0)",,FALHA
"(0, 3, 1)",,FALHA
"(0, 3, 2)",,FALHA
"(0, 3, 3)",,FALHA
"(1, 0, 0)",5.239695249627816e-06,SUCESSO
"(1, 0, 1)",,FALHA
"(1, 0, 2)",,FALHA
"(1, 0, 3)",,FALHA
"(1, 1, 0)",8.520488427804159e-06,SUCESSO
"(1, 1, 1)",,FALHA
"(1, 1, 2)",,FALHA
"(1, 1, 3)",7.208295251707654e-06,SUCESSO
"(1, 2, 0)",5.321202489502003e-06,SUCESSO
"(1, 2, 1)",5.12438373147995e-06,SUCESSO
"(1, 2, 2)",7.378809657838822e-06,SUCESSO
"(1, 2, 3)",,FALHA
"(1, 3, 0)",,FALHA
"(1, 3, 1)",,FALHA
"(1, 3, 2)",,FALHA
"(1, 3, 3)",,FALHA
"(2, 0, 0)",,FALHA
"(2, 0, 1)",,FALHA
"(2, 0, 2)",6.982248234072642e-06,SUCESSO
"(2, 0, 3)",8.797716642406327e-06,SUCESSO
"(2, 1, 0)",6.225259098588971e-06,SUCESSO
"(2, 1, 1)",,FALHA
"(2, 1, 2)",,FALHA
"(2, 1, 3)",,FALHA
"(2, 2, 0)",5.380728876393976e-06,SUCESSO
"(2, 2, 1)",5.397476848592237e-06,SUCESSO
"(2, 2, 2)",,FALHA
"(2, 2, 3)",,FALHA
"(2, 3, 0)",,FALHA
"(2, 3, 1)",,FALHA
"(2, 3, 2)",,FALHA
"(2, 3, 3)",,FALHA
"(3, 0, 0)",5.941025399748971e-06,SUCESSO
"(3, 0, 1)",,FALHA
"(3, 0, 2)",,FALHA
"(3, 0, 3)",,FALHA
"(3, 1, 0)",5.443963040491088e-06,SUCESSO
"(3, 1, 1)",5.4685382422146405e-06,SUCESSO
"(3, 1, 2)",8.568984295844565e-06,SUCESSO
"(3, 1, 3)",,FALHA
"(3, 2, 0)",5.406273407231766e-06,SUCESSO
"(3, 2, 1)",,FALHA
"(3, 2, 2)",,FALHA
"(3, 2, 3)",,FALHA
"(3, 3, 0)",,FALHA
"(3, 3, 1)",,FALHA
"(3, 3, 2)",,FALHA
"(3, 3, 3)",,FALHA
"(4, 0, 0)",6.693502238692062e-06,SUCESSO
"(4, 0, 1)",6.702432389591015e-06,SUCESSO
"(4, 0, 2)",,FALHA
"(4, 0, 3)",,FALHA
"(4, 1, 0)",5.544933055582263e-06,SUCESSO
"(4, 1, 1)",,FALHA
"(4, 1, 2)",,FALHA
"(4, 1, 3)",,FALHA
"(4, 2, 0)",5.9353144783727554e-06,SUCESSO
"(4, 2, 1)",,FALHA
"(4, 2, 2)",,FALHA
"(4, 2, 3)",,FALHA
"(4, 3, 0)",,FALHA
"(4, 3, 1)",,FALHA
"(4, 3, 2)",,FALHA
"(4, 3, 3)",,FALHA
"(5, 0, 0)",,FALHA
"(5, 0, 1)",,FALHA
"(5, 0, 2)",7.059167138155736e-06,SUCESSO
"(5, 0, 3)",,FALHA
"(5, 1, 0)",6.213478716011559e-06,SUCESSO
"(5, 1, 1)",,FALHA
"(5, 1, 2)",,FALHA
"(5, 1, 3)",,FALHA
"(5, 2, 0)",5.977103508821595e-06,SUCESSO
"(5, 2, 1)",,FALHA
"(5, 2, 2)",,FALHA
"(5, 2, 3)",,FALHA
"(5, 3, 0)",,FALHA
"(5, 3, 1)",,FALHA
"(5, 3, 2)",,FALHA
"(5, 3, 3)",,FALHA
"(6, 0, 0)",,FALHA
"(6, 0, 1)",,FALHA
"(6, 0, 2)",,FALHA
"(6, 0, 3)",,FALHA
"(6, 1, 0)",6.440819737386812e-06,SUCESSO
"(6, 1, 1)",,FALHA
"(6, 1, 2)",,FALHA
"(6, 1, 3)",,FALHA
"(6, 2, 0)",7.115408025987933e-06,SUCESSO
"(6, 2, 1)",8.020325695611227e-06,SUCESSO
"(6, 2, 2)",,FALHA
"(6, 2, 3)",,FALHA
"(6, 3, 0)",,FALHA
"(6, 3, 1)",,FALHA
"(6, 3, 2)",,FALHA
"(6, 3, 3)",,FALHA
