params,MSE,status
"(0, 0, 0)",0.08855945645748643,SUCESSO
"(0, 0, 1)",0.022250573371636252,SUCESSO
"(0, 0, 2)",,FALHA
"(0, 0, 3)",,FALHA
"(0, 1, 0)",1.5154360067297827e-05,SUCESSO
"(0, 1, 1)",8.794256131660788e-06,SUCESSO
"(0, 1, 2)",6.056593017269297e-06,SUCESSO
"(0, 1, 3)",5.65544239596507e-06,SUCESSO
"(0, 2, 0)",1.8162189843858893e-06,SUCESSO
"(0, 2, 1)",1.5851843612404373e-06,SUCESSO
"(0, 2, 2)",1.527810886354605e-06,SUCESSO
"(0, 2, 3)",,FALHA
"(0, 3, 0)",,FALHA
"(0, 3, 1)",,FALHA
"(0, 3, 2)",,FALHA
"(0, 3, 3)",,FALHA
"(1, 0, 0)",1.8582540892010463e-06,SUCESSO
"(1, 0, 1)",,FALHA
"(1, 0, 2)",,FALHA
"(1, 0, 3)",,FALHA
"(1, 1, 0)",4.5008392764658985e-06,SUCESSO
"(1, 1, 1)",1.7593527331560466e-06,SUCESSO
"(1, 1, 2)",,FALHA
"(1, 1, 3)",,FALHA
"(1, 2, 0)",1.6293256833616487e-06,SUCESSO
"(1, 2, 1)",1.5262174075384242e-06,SUCESSO
"(1, 2, 2)",1.6332443053787918e-06,SUCESSO
"(1, 2, 3)",,FALHA
"(1, 3, 0)",,FALHA
"(1, 3, 1)",,FALHA
"(1, 3, 2)",,FALHA
"(1, 3, 3)",,FALHA
"(2, 0, 0)",,FALHA
"(2, 0, 1)",1.8028139518458672e-06,SUCESSO
"(2, 0, 2)",,FALHA
"(2, 0, 3)",,FALHA
"(2, 1, 0)",3.0533369017652515e-06,SUCESSO
"(2, 1, 1)",1.7377152557075502e-06,SUCESSO
"(2, 1, 2)",,FALHA
"(2, 1, 3)",,FALHA
"(2, 2, 0)",1.606108143374021e-06,SUCESSO
"(2, 2, 1)",1.5898896116546128e-06,SUCESSO
"(2, 2, 2)",,FALHA
"(2, 2, 3)",,FALHA
"(2, 3, 0)",,FALHA
"(2, 3, 1)",,FALHA
"(2, 3, 2)",,FALHA
"(2, 3, 3)",,FALHA
"(3, 0, 0)",,FALHA
"(3, 0, 1)",,FALHA
"(3, 0, 2)",,FALHA
"(3, 0, 3)",,FALHA
"(3, 1, 0)",2.6008819779640324e-06,SUCESSO
"(3, 1, 1)",1.7591536039638288e-06,SUCESSO
"(3, 1, 2)",,FALHA
"(3, 1, 3)",,FALHA
"(3, 2, 0)",1.7627234555899878e-06,SUCESSO
"(3, 2, 1)",1.8339526282481544e-06,SUCESSO
"(3, 2, 2)",1.748000375765958e-06,SUCESSO
"(3, 2, 3)",,FALHA
"(3, 3, 0)",,FALHA
"(3, 3, 1)",,FALHA
"(3, 3, 2)",,FALHA
"(3, 3, 3)",,FALHA
"(4, 0, 0)",,FALHA
"(4, 0, 1)",,FALHA
"(4, 0, 2)",,FALHA
"(4, 0, 3)",,FALHA
"(4, 1, 0)",2.1461491597823656e-06,SUCESSO
"(4, 1, 1)",,FALHA
"(4, 1, 2)",,FALHA
"(4, 1, 3)",,FALHA
"(4, 2, 0)",1.9020070839505865e-06,SUCESSO
"(4, 2, 1)",,FALHA
"(4, 2, 2)",,FALHA
"(4, 2, 3)",,FALHA
"(4, 3, 0)",,FALHA
"(4, 3, 1)",,FALHA
"(4, 3, 2)",,FALHA
"(4, 3, 3)",,FALHA
"(5, 0, 0)",,FALHA
"(5, 0, 1)",,FALHA
"(5, 0, 2)",,FALHA
"(5, 0, 3)",,FALHA
"(5, 1, 0)",2.121163254565764e-06,SUCESSO
"(5, 1, 1)",1.9177884425869475e-06,SUCESSO
"(5, 1, 2)",,FALHA
"(5, 1, 3)",,FALHA
"(5, 2, 0)",1.7718318769239714e-06,SUCESSO
"(5, 2, 1)",1.729987919553589e-06,SUCESSO
"(5, 2, 2)",,FALHA
"(5, 2, 3)",,FALHA
"(5, 3, 0)",,FALHA
"(5, 3, 1)",,FALHA
"(5, 3, 2)",,FALHA
"(5, 3, 3)",,FALHA
"(6, 0, 0)",,FALHA
"(6, 0, 1)",,FALHA
"(6, 0, 2)",,FALHA
"(6, 0, 3)",,FALHA
"(6, 1, 0)",1.8224743119145995e-06,SUCESSO
"(6, 1, 1)",1.7627947387686814e-06,SUCESSO
"(6, 1, 2)",1.792004139529091e-06,SUCESSO
"(6, 1, 3)",,FALHA
"(6, 2, 0)",1.7210240561895627e-06,SUCESSO
"(6, 2, 1)",1.720413270776836e-06,SUCESSO
"(6, 2, 2)",,FALHA
"(6, 2, 3)",,FALHA
"(6, 3, 0)",,FALHA
"(6, 3, 1)",,FALHA
"(6, 3, 2)",,FALHA
"(6, 3, 3)",,FALHA
