params,MSE
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 5, 'n_layers': 2}",0.003507005050778389
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 5, 'n_layers': 4}",0.00018768526206258684
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 5, 'n_layers': 6}",0.9308423399925232
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 10, 'n_layers': 2}",0.00014479318633675575
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 10, 'n_layers': 4}",0.00012214347952976823
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 10, 'n_layers': 6}",0.0020616562105715275
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 50, 'n_layers': 2}",3.222780227661133
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 50, 'n_layers': 4}",3.223196268081665
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 50, 'n_layers': 6}",0.0018944196635857224
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 100, 'n_layers': 2}",0.028174687176942825
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 100, 'n_layers': 4}",3.399425745010376
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 100, 'n_layers': 6}",2.6783716678619385
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 150, 'n_layers': 2}",3.445276975631714
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 150, 'n_layers': 4}",2.097543478012085
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 150, 'n_layers': 6}",0.4385756552219391
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 200, 'n_layers': 2}",0.1951768845319748
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 200, 'n_layers': 4}",3.35916805267334
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 200, 'n_layers': 6}",2.8326475620269775
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 5, 'n_layers': 2}",0.303516685962677
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 5, 'n_layers': 4}",0.005916197784245014
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 5, 'n_layers': 6}",0.0028454349376261234
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 10, 'n_layers': 2}",0.005604895297437906
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 10, 'n_layers': 4}",0.0044326563365757465
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 10, 'n_layers': 6}",0.0012247211998328567
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 50, 'n_layers': 2}",0.002210544189438224
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 50, 'n_layers': 4}",0.00017029931768774986
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 50, 'n_layers': 6}",0.006816682405769825
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 100, 'n_layers': 2}",0.00029136682860553265
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 100, 'n_layers': 4}",0.05561698228120804
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 100, 'n_layers': 6}",0.006921189837157726
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 150, 'n_layers': 2}",2.987082004547119
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 150, 'n_layers': 4}",1.705501914024353
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 150, 'n_layers': 6}",3.4002227783203125
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 200, 'n_layers': 2}",2.5990378856658936
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 200, 'n_layers': 4}",0.0016191649483516812
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 200, 'n_layers': 6}",3.4006783962249756
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 5, 'n_layers': 2}",0.003181087551638484
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 5, 'n_layers': 4}",0.23194289207458496
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 5, 'n_layers': 6}",0.001647533499635756
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 10, 'n_layers': 2}",0.24634689092636108
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 10, 'n_layers': 4}",6.300956010818481e-05
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 10, 'n_layers': 6}",0.0019282512366771698
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 50, 'n_layers': 2}",0.005586446262896061
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 50, 'n_layers': 4}",1.652901291847229
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 50, 'n_layers': 6}",0.01321037020534277
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 100, 'n_layers': 2}",0.0030068387277424335
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 100, 'n_layers': 4}",0.00018705356342252344
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 100, 'n_layers': 6}",0.00680548045784235
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 150, 'n_layers': 2}",1.615213394165039
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 150, 'n_layers': 4}",0.0021278061904013157
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 150, 'n_layers': 6}",0.008630605414509773
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 200, 'n_layers': 2}",0.001175533514469862
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 200, 'n_layers': 4}",0.0032510331366211176
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 200, 'n_layers': 6}",0.03229498118162155
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 5, 'n_layers': 2}",0.23970912396907806
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 5, 'n_layers': 4}",0.0020423252135515213
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 5, 'n_layers': 6}",0.24182260036468506
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 10, 'n_layers': 2}",0.002157223876565695
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 10, 'n_layers': 4}",0.00023548828903585672
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 10, 'n_layers': 6}",0.2354600876569748
