params,MSE
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 200, 'n_layers': 2}",0.11657445877790451
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 200, 'n_layers': 4}",0.12589876353740692
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 200, 'n_layers': 6}",0.14349201321601868
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 5, 'n_layers': 2}",0.0768536776304245
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 5, 'n_layers': 4}",0.19451147317886353
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 5, 'n_layers': 6}",0.12919290363788605
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 10, 'n_layers': 2}",0.12315335869789124
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 10, 'n_layers': 4}",0.11892522871494293
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 10, 'n_layers': 6}",0.09863433241844177
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 50, 'n_layers': 2}",0.09927931427955627
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 50, 'n_layers': 4}",0.11988924443721771
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 50, 'n_layers': 6}",0.0711059644818306
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 100, 'n_layers': 2}",0.0911572054028511
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 100, 'n_layers': 4}",0.1400761902332306
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 100, 'n_layers': 6}",0.07525061815977097
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 150, 'n_layers': 2}",0.16951453685760498
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 150, 'n_layers': 4}",0.276170015335083
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 150, 'n_layers': 6}",0.10287711769342422
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 200, 'n_layers': 2}",0.1591724455356598
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 200, 'n_layers': 4}",0.12864099442958832
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 200, 'n_layers': 6}",0.11324425041675568
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 5, 'n_layers': 2}",0.10558870434761047
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 5, 'n_layers': 4}",0.14583614468574524
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 5, 'n_layers': 6}",0.15971562266349792
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 10, 'n_layers': 2}",0.12865856289863586
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 10, 'n_layers': 4}",0.18468983471393585
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 10, 'n_layers': 6}",0.15461517870426178
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 50, 'n_layers': 2}",12.458802223205566
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 50, 'n_layers': 4}",0.9874868988990784
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 50, 'n_layers': 6}",2.6277756690979004
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 100, 'n_layers': 2}",0.22593486309051514
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 100, 'n_layers': 4}",1.6854233741760254
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 100, 'n_layers': 6}",0.21969102323055267
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 150, 'n_layers': 2}",7.049772262573242
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 150, 'n_layers': 4}",2.8402457237243652
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 150, 'n_layers': 6}",0.4696376323699951
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 200, 'n_layers': 2}",0.09818903356790543
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 200, 'n_layers': 4}",0.1788555383682251
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 200, 'n_layers': 6}",0.3114014267921448
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 100, 'n_batch': 5, 'n_layers': 2}",0.1901397705078125
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 100, 'n_batch': 5, 'n_layers': 4}",0.1711757481098175
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 100, 'n_batch': 5, 'n_layers': 6}",0.18634985387325287
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 100, 'n_batch': 10, 'n_layers': 2}",0.19203630089759827
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 100, 'n_batch': 10, 'n_layers': 4}",0.12322337925434113
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 100, 'n_batch': 10, 'n_layers': 6}",0.1150476410984993
"{'n_input': 12, 'n_nodes': 10, 'n_epochs': 100, 'n_batch': 50, 'n_layers': 2}",0.20290860533714294
