Código,Fundo,Data,Cota,Variação,Captação,Resgate,PL,Cotistas
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,13/08/2018,"3,3916037","0,92%","R$ 0,00","R$ 0,00","R$ 13.766.044,75",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,10/08/2018,"3,3607421","-2,46%","R$ 0,00","R$ 0,00","R$ 13.640.781,86",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,09/08/2018,"3,4454418","-0,74%","R$ 0,00","R$ 0,00","R$ 13.984.565,80",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,08/08/2018,"3,471226","-1,13%","R$ 0,00","R$ 0,00","R$ 14.089.220,40",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,07/08/2018,"3,5109067","-0,78%","R$ 0,00","R$ 0,00","R$ 14.250.278,90",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,06/08/2018,"3,5383728","-0,31%","R$ 0,00","R$ 0,00","R$ 14.361.760,11",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,03/08/2018,"3,5495277","1,56%","R$ 0,00","R$ 0,00","R$ 14.407.036,03",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,02/08/2018,"3,4951201","0,10%","R$ 0,00","R$ 0,00","R$ 14.186.203,13",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,01/08/2018,"3,4915973","0,65%","R$ 0,00","R$ 0,00","R$ 14.171.904,72",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,31/07/2018,"3,4691053","-1,10%","R$ 0,00","R$ 0,00","R$ 14.080.613,02",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,30/07/2018,"3,5076271","0,06%","R$ 0,00","R$ 0,00","R$ 14.236.967,23",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,27/07/2018,"3,5055032","-0,10%","R$ 0,00","R$ 0,00","R$ 14.228.346,75",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,26/07/2018,"3,5091581","-0,45%","R$ 0,00","R$ 0,00","R$ 14.243.181,70",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,25/07/2018,"3,525159","0,79%","R$ 0,00","R$ 0,00","R$ 14.308.126,77",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,24/07/2018,"3,4975501","1,24%","R$ 0,00","R$ 0,00","R$ 14.196.066,42",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,23/07/2018,"3,4546133","-1,16%","R$ 0,00","R$ 0,00","R$ 14.021.791,95",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,20/07/2018,"3,4950661","1,34%","R$ 0,00","R$ 0,00","R$ 14.185.984,15",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,19/07/2018,"3,4489276","0,28%","R$ 0,00","R$ 0,00","R$ 13.998.714,30",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,18/07/2018,"3,4392217","-0,59%","R$ 0,00","R$ 0,00","R$ 13.959.319,43",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,17/07/2018,"3,459709","1,52%","R$ 0,00","R$ 0,00","R$ 14.042.474,68",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,16/07/2018,"3,4078233","0,14%","R$ 0,00","R$ 0,00","R$ 13.831.877,93",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,13/07/2018,"3,4031553","1,13%","R$ 0,00","R$ 0,00","R$ 13.812.931,18",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,12/07/2018,"3,3652602","1,35%","R$ 0,00","R$ 0,00","R$ 13.659.120,12",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,11/07/2018,"3,3204365","-0,53%","R$ 0,00","R$ 0,00","R$ 13.477.187,06",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,10/07/2018,"3,3379871","-0,29%","R$ 0,00","R$ 0,00","R$ 13.548.422,27",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,09/07/2018,"3,347697","0,23%","R$ 0,00","R$ 0,00","R$ 13.587.833,58",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,06/07/2018,"3,3398524","0,34%","R$ 0,00","R$ 0,00","R$ 13.555.993,42",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,05/07/2018,"3,3286107","-0,48%","R$ 0,00","R$ 0,00","R$ 13.510.365,02",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,04/07/2018,"3,3447833","1,16%","R$ 0,00","R$ 0,00","R$ 13.576.007,04",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,03/07/2018,"3,3064833","0,73%","R$ 0,00","R$ 0,00","R$ 13.420.552,80",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,02/07/2018,"3,28237","0,11%","R$ 0,00","R$ 0,00","R$ 13.322.680,56",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,29/06/2018,"3,2787305","0,54%","R$ 0,00","R$ 0,00","R$ 13.307.907,99",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,28/06/2018,"3,2610753","1,18%","R$ 0,00","R$ 0,00","R$ 13.236.248,07",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,27/06/2018,"3,2229466","-1,48%","R$ 0,00","R$ 0,00","R$ 13.081.489,13",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,26/06/2018,"3,2715175","0,61%","R$ 0,00","R$ 0,00","R$ 13.278.631,79",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,25/06/2018,"3,2516458","0,60%","R$ 0,00","R$ 0,00","R$ 13.197.975,01",5
