Código,Fundo,Data,Cota,Variação,Captação,Resgate,PL,Cotistas
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,17/02/2016,"1,68963762","0,05%","R$ 0,00","R$ 0,00","R$ 4.681.864,38",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,16/02/2016,"1,68876131","0,05%","R$ 0,00","R$ 0,00","R$ 4.679.436,19",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,15/02/2016,"1,68784689","0,05%","R$ 0,00","R$ 0,00","R$ 4.676.902,39",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,12/02/2016,"1,68693325","0,05%","R$ 0,00","R$ 0,00","R$ 4.674.370,77",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,11/02/2016,"1,68601999","0,05%","R$ 0,00","R$ 0,00","R$ 4.671.840,18",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,10/02/2016,"1,68510754","-0,02%","R$ 0,00","R$ 0,00","R$ 4.669.311,86",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,05/02/2016,"1,68548098","0,05%","R$ 0,00","R$ 21.000,00","R$ 4.670.346,64",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,04/02/2016,"1,68456834","0,21%","R$ 0,00","R$ 0,00","R$ 4.688.806,40",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,03/02/2016,"1,68099576","0,05%","R$ 0,00","R$ 170.000,00","R$ 4.678.862,53",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,02/02/2016,"1,6800867","0,05%","R$ 0,00","R$ 0,00","R$ 4.853.648,19",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,01/02/2016,"1,67917616","0,05%","R$ 0,00","R$ 0,00","R$ 4.851.017,69",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,29/01/2016,"1,67826625","-0,43%","R$ 0,00","R$ 0,00","R$ 4.848.389,03",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,28/01/2016,"1,68545178","0,54%","R$ 0,00","R$ 0,00","R$ 4.869.147,52",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,27/01/2016,"1,67643913","0,54%","R$ 0,00","R$ 0,00","R$ 4.843.110,62",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,26/01/2016,"1,66749347","0,05%","R$ 0,00","R$ 0,00","R$ 4.817.267,26",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,25/01/2016,"1,66658595","-0,43%","R$ 0,00","R$ 0,00","R$ 4.814.645,51",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,22/01/2016,"1,6737028","0,05%","R$ 0,00","R$ 0,00","R$ 4.835.205,57",2
